# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 9.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
10            	-2.485425e+00	-9.402050e-01	-1.545220e+00	-6.050150e+00	-4.785390e-01	-5.571611e+00	2.546536e+00	3.025075e-01	-1.242713e-01	-3.428109e-19	-1.242713e-01	1.242713e-01
20            	9.455853e-01	3.397324e-01	6.058529e-01	2.661206e+00	6.877473e-01	1.973458e+00	-6.428556e-01	-1.330603e-01	4.727926e-02	-2.170553e-19	4.727926e-02	-4.727926e-02
30            	5.544142e-01	1.843565e-01	3.700576e-01	1.857011e+00	7.523661e-01	1.104645e+00	-1.761393e-01	-9.285054e-02	2.772071e-02	-2.179461e-19	2.772071e-02	-2.772071e-02
40            	5.882163e-01	1.939004e-01	3.943159e-01	2.004155e+00	8.092129e-01	1.194942e+00	-1.928647e-01	-1.002078e-01	2.941081e-02	-1.955972e-19	2.941081e-02	-2.941081e-02
50            	6.094164e-01	1.995060e-01	4.099104e-01	2.104045e+00	8.652028e-01	1.238842e+00	-1.868195e-01	-1.052022e-01	3.047082e-02	-2.058458e-19	3.047082e-02	-3.047082e-02
60            	6.276208e-01	2.059630e-01	4.216578e-01	2.156948e+00	8.981037e-01	1.258845e+00	-1.803705e-01	-1.078474e-01	3.138104e-02	-2.234367e-19	3.138104e-02	-3.138104e-02
70            	6.367186e-01	2.102833e-01	4.264353e-01	2.161520e+00	9.033516e-01	1.258169e+00	-1.774086e-01	-1.080760e-01	3.183593e-02	-2.374795e-19	3.183593e-02	-3.183593e-02
80            	6.424904e-01	2.136594e-01	4.288310e-01	2.151715e+00	8.909181e-01	1.260797e+00	-1.849396e-01	-1.075858e-01	3.212452e-02	-2.304712e-19	3.212452e-02	-3.212452e-02
90            	6.508486e-01	2.179030e-01	4.329455e-01	2.150425e+00	8.656832e-01	1.284742e+00	-2.095294e-01	-1.075213e-01	3.254243e-02	-2.214179e-19	3.254243e-02	-3.254243e-02
100           	6.650296e-01	2.241496e-01	4.408800e-01	2.167304e+00	8.328604e-01	1.334444e+00	-2.507918e-01	-1.083652e-01	3.325148e-02	-2.100124e-19	3.325148e-02	-3.325148e-02
110           	6.813880e-01	2.313018e-01	4.500862e-01	2.187844e+00	7.905346e-01	1.397310e+00	-3.033876e-01	-1.093922e-01	3.406940e-02	-2.021885e-19	3.406940e-02	-3.406940e-02
120           	6.928355e-01	2.372285e-01	4.556070e-01	2.183785e+00	7.331095e-01	1.450675e+00	-3.587828e-01	-1.091892e-01	3.464177e-02	-1.898497e-19	3.464177e-02	-3.464177e-02
130           	6.865491e-01	2.375998e-01	4.489493e-01	2.113494e+00	6.563783e-01	1.457116e+00	-4.003690e-01	-1.056747e-01	3.432745e-02	-1.688758e-19	3.432745e-02	-3.432745e-02
140           	6.449023e-01	2.258651e-01	4.190372e-01	1.931721e+00	5.588986e-01	1.372822e+00	-4.069619e-01	-9.658605e-02	3.224511e-02	-1.447353e-19	3.224511e-02	-3.224511e-02
150           	5.634986e-01	1.998040e-01	3.636946e-01	1.638906e+00	4.467051e-01	1.192201e+00	-3.727477e-01	-8.194528e-02	2.817493e-02	-1.270183e-19	2.817493e-02	-2.817493e-02
160           	4.641480e-01	1.665596e-01	2.975884e-01	1.310288e+00	3.383912e-01	9.718968e-01	-3.167528e-01	-6.551440e-02	2.320740e-02	-1.194084e-19	2.320740e-02	-2.320740e-02
170           	3.843343e-01	1.392850e-01	2.450493e-01	1.057642e+00	2.581616e-01	7.994806e-01	-2.706595e-01	-5.288211e-02	1.921672e-02	-1.170144e-19	1.921672e-02	-1.921672e-02
180           	3.442576e-01	1.256754e-01	2.185823e-01	9.290689e-01	2.154120e-01	7.136569e-01	-2.491224e-01	-4.645345e-02	1.721288e-02	-1.156067e-19	1.721288e-02	-1.721288e-02
190           	3.199891e-01	1.174082e-01	2.025809e-01	8.517270e-01	1.984901e-01	6.532369e-01	-2.273734e-01	-4.258635e-02	1.599946e-02	-1.183601e-19	1.599946e-02	-1.599946e-02
200           	3.019166e-01	1.105142e-01	1.914024e-01	8.088823e-01	2.066237e-01	6.022586e-01	-1.978175e-01	-4.044411e-02	1.509583e-02	-1.250493e-19	1.509583e-02	-1.509583e-02
210           	3.107510e-01	1.125542e-01	1.981968e-01	8.564266e-01	2.447341e-01	6.116926e-01	-1.834793e-01	-4.282133e-02	1.553755e-02	-1.423796e-19	1.553755e-02	-1.553755e-02
220           	3.379817e-01	1.208824e-01	2.170993e-01	9.621688e-01	3.008362e-01	6.613326e-01	-1.802482e-01	-4.810844e-02	1.689908e-02	-1.508925e-19	1.689908e-02	-1.689908e-02
230           	3.677593e-01	1.298932e-01	2.378661e-01	1.079729e+00	3.615398e-01	7.181891e-01	-1.783247e-01	-5.398645e-02	1.838797e-02	-1.603236e-19	1.838797e-02	-1.838797e-02
240           	4.005172e-01	1.399111e-01	2.606062e-01	1.206951e+00	4.221242e-01	7.848267e-01	-1.813512e-01	-6.034754e-02	2.002586e-02	-1.787694e-19	2.002586e-02	-2.002586e-02
250           	4.358252e-01	1.510880e-01	2.847372e-01	1.336492e+00	4.779959e-01	8.584966e-01	-1.902504e-01	-6.682462e-02	2.179126e-02	-1.784772e-19	2.179126e-02	-2.179126e-02
